Latitude,Longitude,Rest/ Bar Rating,Average Distance_Bar,Average Distance_Gym
46.830463968878064,-71.23852523493193,"0    NaN
1    8.1
2    7.0
3    6.0
4    8.6
5    9.0
6    NaN
7    8.7
8    NaN
9    8.2
Name: rating, dtype: float64",539.4,592.8
46.82705982745014,-71.23070659565352,"0    9.0
1    8.2
2    8.7
3    7.7
4    8.6
5    8.6
6    9.1
7    8.1
8    8.2
9    6.7
Name: rating, dtype: float64",297.6,657.6
46.82613489140135,-71.22456701921843,"0    8.6
1    9.1
2    8.1
3    8.7
4    9.0
5    8.2
6    8.2
7    7.7
8    8.6
9    6.7
Name: rating, dtype: float64",437.8,694.25
46.784158356023376,-71.26362534689329,"0    NaN
1    8.1
2    7.7
3    7.9
4    5.8
5    8.5
6    NaN
7    NaN
8    7.0
9    5.6
Name: rating, dtype: float64",622.0,459.0
46.822100909007546,-71.22555066618058,"0    8.2
1    9.1
2    8.1
3    8.7
4    9.0
5    8.6
6    8.2
7    7.7
8    8.9
9    8.6
Name: rating, dtype: float64",510.6,0.0
46.79135483991666,-71.25262917355235,"0    8.2
1    8.1
2    7.3
3    6.9
4    6.8
5    NaN
6    6.4
7    6.4
8    8.8
9    NaN
Name: rating, dtype: float64",408.2,649.4
46.79385586285797,-71.24822022667655,"0    NaN
1    7.3
2    8.2
3    8.1
4    8.8
5    6.9
6    NaN
7    NaN
8    NaN
9    6.4
Name: rating, dtype: float64",455.6,720.8
46.78194791566562,-71.25260951446913,"0    7.0
1    8.5
2    6.7
3    7.7
4    6.6
5    6.8
6    6.8
7    8.5
8    7.6
9    NaN
Name: rating, dtype: float64",161.5,463.3333333333333
46.78924450706438,-71.2442994386663,"0    8.8
1    NaN
2    6.6
3    7.8
4    NaN
5    NaN
6    NaN
7    NaN
8    NaN
9    7.3
Name: rating, dtype: float64",498.7,0.0
46.81109708055996,-71.21760167732813,"0    9.1
1    8.8
2    8.9
3    8.8
4    9.0
5    9.0
6    9.0
7    8.8
8    8.2
9    8.7
Name: rating, dtype: float64",373.4,0.0
46.82117479531745,-71.23453194398171,"0    7.9
1    8.6
2    9.1
3    7.8
4    8.1
5    8.2
6    9.0
7    8.7
8    8.6
9    8.2
Name: rating, dtype: float64",606.8,807.125
46.815057,-71.235443,"0    7.8
1    9.2
2    8.6
3    7.9
4    8.0
5    9.1
6    8.5
7    8.6
8    7.8
9    8.4
Name: rating, dtype: float64",379.9,643.3333333333334
46.81258598277751,-71.22973499957455,"0    9.0
1    7.9
2    8.4
3    8.9
4    9.0
5    8.6
6    9.1
7    8.8
8    8.5
9    9.2
Name: rating, dtype: float64",191.4,526.7
46.78938334025807,-71.26476528572462,"0    8.1
1    7.7
2    7.9
3    NaN
4    5.6
5    5.8
6    NaN
7    NaN
8    NaN
9    7.7
Name: rating, dtype: float64",406.6,789.9
46.80927496016057,-71.23850645946882,"0    8.1
1    9.2
2    8.6
3    8.0
4    8.5
5    8.0
6    6.1
7    9.1
8    7.8
9    7.7
Name: rating, dtype: float64",381.6,625.9
46.813662299909325,-71.21920394229315,"0    9.0
1    8.5
2    8.6
3    9.1
4    8.8
5    9.0
6    8.9
7    8.9
8    9.2
9    9.0
Name: rating, dtype: float64",418.0,580.4
46.803790282177374,-71.22581692861937,"0    8.3
1    8.6
2    8.2
3    8.4
4    8.3
5    9.0
6    8.9
7    9.0
8    8.5
9    9.3
Name: rating, dtype: float64",247.4,514.75
46.79652641037149,-71.2328549657563,"0    NaN
1    6.2
2    NaN
3    8.9
4    NaN
5    NaN
6    NaN
7    7.9
8    7.3
9    9.0
Name: rating, dtype: float64",548.0,753.2
46.795135745934,-71.2434363596382,"0    NaN
1    8.8
2    7.9
3    NaN
4    6.2
5    NaN
6    NaN
7    NaN
8    NaN
9    6.9
Name: rating, dtype: float64",505.3,630.3
46.7795830939878,-71.2706339590492,"0    NaN
1    NaN
2    NaN
3    8.1
4    8.5
5    8.1
6    7.7
7    7.9
8    7.8
9    NaN
Name: rating, dtype: float64",676.5,621.3333333333334
46.79273110396984,-71.26363071131132,"0    NaN
1    7.7
2    8.1
3    8.2
4    NaN
5    8.1
6    6.8
7    7.7
8    7.9
9    NaN
Name: rating, dtype: float64",527.8,575.0
46.81392938372159,-71.20884793328665,"0    8.4
1    8.2
2    8.6
3    8.3
4    8.7
5    8.0
6    8.8
7    8.8
8    9.2
9    9.1
Name: rating, dtype: float64",211.6,552.5555555555555
46.80618864587998,-71.22686526215266,"0    9.0
1    8.3
2    8.6
3    9.0
4    8.3
5    8.2
6    8.4
7    8.5
8    8.4
9    8.8
Name: rating, dtype: float64",308.7,464.8
46.80358373526056,-71.231244378561,"0    9.0
1    8.3
2    8.6
3    8.3
4    8.2
5    8.4
6    8.9
7    9.0
8    8.4
9    8.5
Name: rating, dtype: float64",504.1,683.7
46.817650062860366,-71.20873930382155,"0    8.5
1    9.1
2    8.9
3    8.6
4    8.1
5    9.2
6    8.2
7    8.3
8    8.7
9    7.9
Name: rating, dtype: float64",317.2,651.625
46.807598406228216,-71.24416592049025,"0    7.4
1    6.6
2    8.0
3    7.7
4    7.1
5    7.8
6    8.1
7    6.1
8    NaN
9    5.7
Name: rating, dtype: float64",271.9,574.6
46.84274855398623,-71.22500825686221,"0    NaN
1    NaN
2    7.2
3    NaN
4    7.1
5    NaN
6    NaN
7    NaN
8    5.8
9    NaN
Name: rating, dtype: float64",373.3,457.0
46.78171842970272,-71.2742233208467,"0    NaN
1    NaN
2    7.6
3    NaN
4    NaN
5    8.1
6    8.4
7    8.1
8    7.9
9    7.7
Name: rating, dtype: float64",604.1,736.5
