Latitude,Longitude,REST/BAR RATING,Average Distance_Bar,Average Distance_Gym
46.81748363513417,-71.21286931253941,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.5
5     5.0
6     4.5
7     4.0
8     4.5
9     5.0
10    4.5
11    4.0
12    4.5
13    4.0
14    4.0
15    4.0
16    4.5
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",578.2406468036656,254.2788828099755
46.82472635206527,-71.22830601858517,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.5
5     4.0
6     4.0
7     4.0
8     3.5
9     5.0
10    4.0
11    2.5
12    3.5
13    4.5
14    4.5
15    3.5
16    4.0
17    3.0
18    5.0
19    4.5
Name: rating, dtype: float64",374.7904269149964,1274.4545685938467
46.812146312979735,-71.20227632353003,"0     4.5
1     4.0
2     4.5
3     4.0
4     4.0
5     4.5
6     4.0
7     4.0
8     4.0
9     4.0
10    4.5
11    4.5
12    4.5
13    5.0
14    4.5
15    4.5
16    4.0
17    4.5
18    4.0
19    3.5
Name: rating, dtype: float64",278.63953465922066,0.0
46.81230646289787,-71.21437238651318,"0     4.0
1     4.0
2     4.5
3     4.0
4     4.5
5     4.0
6     4.5
7     5.0
8     4.5
9     4.5
10    4.0
11    4.5
12    4.0
13    4.0
14    4.5
15    4.0
16    3.5
17    4.5
18    4.5
19    4.0
Name: rating, dtype: float64",424.4442608143792,525.404587006228
46.83404404888957,-71.22124108003996,"0     4.5
1     4.5
2     4.0
3     4.0
4     4.5
5     3.5
6     4.0
7     4.0
8     3.5
9     3.0
10    5.0
11    5.0
12    5.0
13    2.0
14    3.0
15    5.0
16    2.0
17    2.5
18    3.5
19    3.0
Name: rating, dtype: float64",839.5950951456786,0.0
46.79757149554302,-71.24463530706785,"0     5.0
1     4.5
2     3.5
3     4.5
4     5.0
5     4.0
6     4.0
7     2.0
8     2.5
9     2.5
10    2.5
11    1.0
Name: rating, dtype: float64",800.4170883875795,0.0
46.82711487394143,-71.23470697516585,"0     4.5
1     4.5
2     5.0
3     4.0
4     5.0
5     4.0
6     4.5
7     4.5
8     5.0
9     4.5
10    4.0
11    5.0
12    4.5
13    4.0
14    3.5
15    3.5
16    5.0
17    4.0
18    5.0
19    5.0
Name: rating, dtype: float64",412.667577314635,0.0
46.78425018789264,-71.28444465326689,"0     5.0
1     3.0
2     3.5
3     4.0
4     4.0
5     4.0
6     5.0
7     2.5
8     3.5
9     3.0
10    5.0
11    5.0
12    4.0
13    4.5
14    4.5
15    3.5
16    3.5
17    4.0
18    2.5
19    3.5
Name: rating, dtype: float64",336.94249456795717,396.0810479728354
46.83822969588059,-71.22451224173356,"0     4.5
1     4.0
2     3.5
3     4.0
4     5.0
5     2.5
6     5.0
7     2.0
8     5.0
9     2.0
10    4.0
11    3.0
12    3.5
13    3.5
14    2.0
15    3.0
Name: rating, dtype: float64",777.381020984913,0.0
46.833607,-71.242095,"0     4.5
1     4.5
2     4.5
3     5.0
4     4.0
5     5.0
6     4.0
7     5.0
8     3.5
9     4.5
10    2.0
11    1.0
12    3.0
13    4.0
14    5.0
15    5.0
16    4.0
17    4.0
18    4.0
19    2.0
Name: rating, dtype: float64",827.272372510662,538.7073020254884
46.830463968878064,-71.23852523493193,"0     4.5
1     4.5
2     5.0
3     4.5
4     4.5
5     4.0
6     4.5
7     5.0
8     5.0
9     4.0
10    4.0
11    3.0
12    4.0
13    3.0
14    3.5
15    4.0
16    5.0
17    5.0
18    3.5
19    5.0
Name: rating, dtype: float64",639.785732232695,973.6701429227593
46.82705982745014,-71.23070659565352,"0     4.5
1     4.5
2     4.0
3     5.0
4     4.0
5     4.0
6     4.5
7     3.5
8     4.5
9     3.5
10    5.0
11    4.0
12    4.5
13    3.0
14    5.0
15    5.0
16    5.0
17    5.0
18    5.0
19    4.5
Name: rating, dtype: float64",296.86594643509386,0.0
46.82613489140135,-71.22456701921843,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.5
5     4.0
6     4.0
7     3.5
8     4.0
9     4.0
10    5.0
11    5.0
12    3.5
13    3.5
14    2.5
15    4.0
16    4.5
17    3.0
18    5.0
19    5.0
Name: rating, dtype: float64",509.43760013420786,0.0
46.784158356023376,-71.26362534689329,"0     4.0
1     4.5
2     4.0
3     4.0
4     3.5
5     3.0
6     4.5
7     4.5
8     3.5
9     4.0
10    3.5
11    4.0
12    5.0
13    3.5
14    2.5
15    4.0
16    3.0
17    4.0
18    3.0
19    5.0
Name: rating, dtype: float64",862.1331528918063,0.0
