Name,Latitude,Longitude,Number of Free Bikes
Queen St E / Woodward Ave,43.665269,-79.319796,13
Primrose Ave / Davenport Rd,43.67142,-79.445947,4
Queen St. E / Rhodes Ave.,43.666224,-79.317693,2
Bond St / Queen St E,43.653236,-79.376716,7
Church St / Alexander St,43.663722,-79.380288,14
University Ave / Gerrard St W (East Side),43.657763,-79.389165,21
Edward St / Yonge St,43.656729,-79.382736,16
Euclid Ave / Bloor St W,43.664467,-79.414783,13
Yonge St / Aylmer Ave,43.675492,-79.388858,17
Davenport Rd / Avenue Rd,43.674991,-79.396273,0
Yonge St / Yorkville Ave,43.671944,-79.387778,2
Dundas St E / Broadview Ave,43.662365,-79.351104,8
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,17
Gerrard St E / River St,43.663993,-79.358534,3
Jarvis St / Dundas St E,43.657266,-79.374756,13
Logan Av / Gerrard St E,43.6672144,-79.3452697,2
Regal Rd / Dufferin St,43.673939,-79.441159,1
Morse St / Eastern Ave,43.657991,-79.340075,7
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,11
Blake St / Boultbee Ave,43.672453,-79.338259,4
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,4
Gamble Ave / Broadview Ave,43.689211,-79.35438,13
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,12
Dundas St E / Pembroke St - SMART,43.658295,-79.372346,1
Victoria Park Subway Station - SMART,43.6940155,-79.2889842,5
Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,0
Lawton Blvd / Yonge St,43.6910667,-79.39535,1
Yonge St / Davisville Ave,43.6975969,-79.39654,9
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,11
St. George St / Bloor St W,43.667333,-79.399429,12
King St W / York St,43.6480008,-79.383177,16
University Ave / Elm St,43.656518,-79.389099,4
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,0
Bloor St W / Dundas St W,43.6563889,-79.45166666666667,8
Bathurst St / Fort York Blvd,43.639179,-79.399595,3
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,7
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,1
Dundas St W / Edna Ave,43.657192,-79.452559,3
College St / Major St,43.6576,-79.4032,6
McGill St / Church St,43.660694,-79.379052,11
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,21
College Park South,43.659777,-79.382767,12
25 York St – Union Station South,43.643667,-79.380414,9
161 Bleecker St (South of Wellesley),43.666233,-79.373327,1
Spadina Ave / Fort York Blvd,43.640114,-79.393249,1
Augusta Ave / Denison Sq,43.653766,-79.4016759,5
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,0
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,4
St Clarens Ave / College St,43.651238,-79.43868,1
Ossington Ave / College St,43.6544915,-79.422634,1
High Park Subway Station,43.6543604,-79.4655296,0
Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,19
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,11
Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,9
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,18
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,15
Dundas St W / Roncesvalles Ave Green P -SMART,43.6534268,-79.4512787,10
Erskine Ave / Yonge St SMART,43.7112153,-79.39894,1
D'Arcy St / McCaul St - SMART,43.655227,-79.39201,12
Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,5
Cumberland St / Bay St SMART,43.6704537,-79.39014,2
20 Charles St E,43.6691099,-79.38551,4
Niagara St / Tecumseth St,43.641389,-79.404444,0
424 Wellington St W,43.643834,-79.396649,4
Dundas St W / St. Patrick St,43.6545174,-79.3895315,10
Robert St / Bloor St W - SMART,43.665846,-79.404998,2
John St  / Mercer St - SMART,43.6461,-79.3895,11
Queen St E / Hammersmith Ave,43.671349,-79.29451,8
Queen St. E / Eastern Ave,43.667208,-79.312315,2
Hubbard Blvd / Balsam Av,43.669328,-79.288949,14
Queen St. E / Spruce Hill Rd.,43.672571,-79.289,13
Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,9
Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,6
Amelia St. / Sumach St.,43.66852,-79.363525,3
Augusta Ave / Dundas St W,43.652473,-79.401456,3
Queen St W / Ossington Ave,43.643975,-79.419576,4
Trinity St /Front St E,43.651318,-79.36023,18
Dundas St W / Yonge St,43.656094,-79.381484,27
Kendal Ave / Spadina Rd,43.670318,-79.405181,0
Davenport Rd / Bathurst St,43.676667,-79.416111,1
Queen St W / Close Ave,43.640634,-79.435841,8
King St W / Joe Shuster Way,43.639444,-79.423611,15
Yarmouth Rd / Christie St,43.67,-79.42083333333333,4
Palmerston Ave / Vermont Ave,43.671389,-79.416389,4
Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,0
King St W / Fraser Ave,43.6394444,-79.42527777777778,11
Macpherson Ave / Spadina Rd,43.675791,-79.40698,3
Bridgman Ave / Kendal Ave,43.675556,-79.410278,2
Bridgman Ave / Bathurst St,43.674444,-79.414722,1
Kendal Ave / Bernard Ave,43.671513,-79.408317,13
Pretoria Ave / Broadview Ave,43.6783213,-79.35822,1
Broadview Ave / Westwood Ave,43.6848652,-79.356602,9
Fulton Ave / Pape Ave,43.68395,-79.347046,10
Cosburn Ave / Donlands Ave,43.690537,-79.341307,2
Beltline Trail / Chaplin Cres.,43.704461,-79.423122,0
Lake Shore Blvd E / Leslie St,43.659195,-79.329196,2
King St E / Berkeley St,43.651885,-79.3649,11
Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,3
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,2
Soho St / Queen St W,43.6494896,-79.393535,5
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,0
Front St W / University Ave (2),43.6452972,-79.3827914,6
457 King St W,43.6452091,-79.3960744,15
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,3
Roxborough St W / Yonge St,43.678077,-79.390328,12
Crawford St / Queen St W,43.645665,-79.415345,15
Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,6
Dundas St E / Regent Park Blvd,43.660207,-79.361275,4
Lower Sherbourne St / The Esplanade,43.648655,-79.367061,23
Nelson St / Duncan St,43.648711,-79.389728,24
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,13
Queen St E / Sackville St,43.6561111,-79.36138888888888,3
Mill St / Tannery Rd,43.652219,-79.354455,21
Cherry St / Distillery Ln,43.650279,-79.356832,6
Queen St W / Spadina Ave,43.649147,-79.395504,10
Yonge St / Harbour St,43.643795,-79.375413,20
Willcocks St / St. George St,43.662085,-79.397735,14
Dundas St E / Parliament St,43.659575,-79.365769,1
51 Parliament St,43.65205,-79.362198,17
Queen's Park / Bloor St W,43.668456,-79.393899,13
Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,5
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,4
Queen St W / Cowan Ave,43.6409,-79.432837,1
Harbord St / Clinton St,43.660414,-79.415646,2
Central Tech  (Harbord St),43.661975,-79.407896,1
Roxton Rd / Harbord St,43.65905,-79.422988,0
Ulster St / Bathurst St,43.66,-79.4088888888889,3
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,16
Danforth Ave / Barrington Ave,43.688325,-79.300463,3
Pacific Ave / Glenlake Ave,43.65716,-79.46478,1
Broadview Subway Station,43.6772,-79.35858,0
Church St  / Wood St,43.662712,-79.379903,10
College Park - Gerrard Entrance,43.658938,-79.383518,16
Danforth Ave / Coxwell Ave,43.683378,-79.322961,3
12 Harbour St,43.6425636,-79.3762,10
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,2
Yonge St / Bloor St,43.669969,-79.386532,5
Dufferin Gate - SMART,43.633473,-79.425679,10
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,7
Bloor St W / Shaw St - SMART,43.662403,-79.423098,1
Concord Ave / Dewson St,43.656945,-79.424911,1
Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,0
St Clair Ave W / Bathurst St.,43.683296,-79.418734,1
Queen St E / Nursewood Rd,43.673831,-79.281455,16
Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,7
Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,5
Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,9
Frederick St / King St E,43.651118,-79.369411,3
College St / Borden St,43.6571,-79.4056,3
Beverley  St / Dundas St W,43.652823,-79.393388,20
Bay St / St. Joseph St,43.665527,-79.387499,5
Gould St / Mutual St,43.6582,-79.3768,18
Riverdale Park North (Broadview Ave),43.671172,-79.354704,0
Danforth Ave / Ellerbeck St,43.677076,-79.35667,2
Pape Subway Station (Green P),43.680223,-79.344062,10
Danforth Ave / Gough Ave,43.678401,-79.346289,6
Danforth Ave / Lamb Ave,43.681991,-79.329455,6
King St W / Stafford St,43.6422222,-79.41111111111111,2
Bathurst St / Lennox St,43.663808,-79.410491,0
Bathurst Subway Station,43.6666667,-79.41166666666668,1
Bloor St W / Christie St,43.6638889,-79.41888888888889,5
Ossington Ave / Bloor St W,43.661705,-79.425734,0
Essex St / Christie St - SMART,43.6686111,-79.42027777777778,1
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,0
Havelock St / Dufferin Park,43.657343,-79.43112,0
Bathurst St / Adelaide St W,43.645324,-79.40345,3
Mill St / Parliament St,43.650256,-79.36163,13
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,3
